"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"82"	10	1.0830028563666	0.35137252489693	1.8417412892806	0.0177542691845425	1.99944599361034	0.000740748109524212	0.997735448537776	2.95941591744172e-05	0.130503176642987	-0.0024599740421695
"83"	15	1.37544455211568	0.44625313986154	2.38693902049548	0.0158736988686817	1.99850973544663	0.0009510325956096	0.99565950815431	6.2938213680794e-05	0.334058862916448	0.0044632946765393
"84"	20	1.24072724920925	0.402545075204774	2.93905725854501	0.0162135578411272	1.994754298212	0.00150206310779165	0.990661715218255	0.000110232104313489	0.4071694366527	-0.00120976062219565
"85"	25	1.38427203559155	0.449117153690469	3.25981803871447	0.0181507644335353	1.98980582664544	0.00203186475998925	0.984062291166427	0.000176177849341536	0.465556653142907	0.00963490250972017
"86"	30	1.1162454105733	0.362157833667784	3.83090271623006	0.0126608916102404	1.97503356336357	0.00299654533709436	0.97066493060997	0.000182569982965707	0.64565411318413	-0.000748182321808847
"87"	35	0.890136512784515	0.28879842020857	4.15071810579203	0.0197193590425982	1.95666996427493	0.00612428447315289	0.932731024024166	0.000378354743902301	0.661984018160493	0.00123023499208724
"88"	40	0.698708385365946	0.226690934460088	4.33048446379886	0.0118796065025683	1.93549124448531	0.00662469583131462	0.915527881287549	0.000337217254842316	0.744028685528475	-0.00529093838330373
"89"	45	0.533267480617404	0.173014817097153	4.46248759215122	0.01755724282752	1.94561430195521	0.00557706814433987	0.920376413269707	0.000386715925023343	0.944084004411829	0.00285608068145511
"90"	50	0.429517688441351	0.139353939639512	4.02781830308057	0.0207756264371191	1.71978654420126	0.0202025453736373	0.705676252893212	0.000203506377605758	1.00776796485299	-0.000122347505745836
"91"	5	0.831466153633694	0.269763242129174	1.31379085882151	0.0191814648920032	1.99914362831987	0.000953734076743168	0.998641313605295	3.32164546985427e-05	0.0754749293270282	0.0342844939216854
"92"	10	1.28507497083781	0.416933376057765	1.94669371970886	0.0219157272114105	2.00004078380519	0.000796223509218542	0.997607577331689	3.86045140668391e-05	0.249331989042363	-0.00496638771759551
"93"	15	0.978466246648954	0.317456370119753	1.93414384946199	0.0180317599180331	2.00033856071783	0.000996500434499027	0.99544338753448	6.06844091740063e-05	0.329630352865088	0.0343689286873728
"94"	20	1.0808567260797	0.350676228286783	2.36523981326037	0.0151069651339644	1.99832653884061	0.000965573169528215	0.994040931970955	6.73810982002622e-05	0.339544729667364	0.0171004882553152
"95"	25	1.18431761735782	0.384243373915968	3.38917715391328	0.0183571017546448	1.98454091077511	0.00296829147182692	0.976445097145907	0.000166200722684484	0.512997374622742	-0.0121188267055302
"96"	30	1.01743154646972	0.330098382743176	3.4167592911921	0.0158938234725753	1.99084509024685	0.00220442313304463	0.979433223546527	0.000206989296025647	0.592750792927287	-0.00501341255091975
"97"	35	1.29278610644012	0.419435198809643	4.37287252847288	0.0213559742780587	1.92435212496815	0.00677365517104696	0.922763388724594	0.000562705435471672	0.739771953176909	-0.00321935815075882
"98"	40	0.951830645913552	0.308814640111816	4.41647877782974	0.0356151476358834	1.77683108347985	0.0164982440921032	0.793810075916713	0.000431036438805579	0.810363491212416	-0.0008371566372863
"99"	45	0.732457902550771	0.237640723740487	4.34950680957247	0.0284765320994948	1.79254446862597	0.0161600392913749	0.778908317172165	0.000310905299383507	0.908221389340886	0.00204758128887796
"100"	50	0.535377969222074	0.173699550018613	4.39925537083842	0.0290849231379512	1.70450541015084	0.0178597592917289	0.727260198196429	0.000268540171061352	0.968160622595722	-0.00189971574502774
