"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"dist_ls"	"dist_ls_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"39"	45	12.4476954463715	4.0385656902266	5.588111968209	0.111872330587135	7.31739215424452	0.209433813533613	1.69490219823255	0.0216137726668618	0.891234221709043	0.00109871138603268	0.934570314231802	-0.00117448621865237
"40"	50	8.73910082840149	2.83533871157663	5.20179723946268	0.0915911512032587	7.6099368806766	0.122082775570327	1.79112184429349	0.017305429717225	0.917965678127105	0.000688802094078006	1.00186466016693	0.0026341238990741
"41"	5	50.0696944865792	16.244753990392	7.12798486079464	0.185124404637859	3.42436379077118	0.146624790872267	2.01899793048242	0.0156650942248601	0.999383890227533	2.00451628211921e-05	0.217297572977882	-0.0468201280937829
"42"	10	47.0772053636169	15.2738623139014	7.02275387968464	0.188508032456331	3.91285516351268	0.127349167445822	1.99557432351741	0.00992721489231233	0.999018979678375	1.55397798831444e-05	0.215055578545784	-0.0178774802835712
"43"	15	41.6997541718077	13.5291867651082	6.81758599174346	0.160952018088942	4.81018874102124	0.17483628532664	1.9823541493353	0.00924295841353435	0.998062904781569	3.22386837986898e-05	0.289359528034508	0.00303355367083976
"44"	20	35.7871197788934	11.6108748574178	6.34288122239268	0.176841001535029	5.05820861759109	0.193943886130209	2.01329042685104	0.00807290497836547	0.997385669455825	3.71966496789063e-05	0.36964508488251	-0.00250113880172732
"45"	25	29.5942199334183	9.60163282971092	6.06123709147011	0.155522252147695	6.02697134829408	0.107156559753785	1.96627407785984	0.0103438364271685	0.993211535378408	0.000150679345380785	0.566654483267306	0.00755748664719731
"46"	30	24.3367460518274	7.89588306045184	5.84741522560891	0.147078635211094	6.47469310173049	0.175484153517573	1.97849949799224	0.0089450489174102	0.99277109225176	0.000133247197097254	0.604176954110693	-0.00135185811132919
"47"	35	18.0143625142088	5.84463097563938	5.74365939689206	0.146949517682395	7.30048171000614	0.193930517496785	1.79815088699363	0.01708968379534	0.95813677098857	0.000663817529170214	0.691088581565384	0.00013517472202376
"48"	40	13.13369607052	4.26113368251854	5.58205806538846	0.115367645044937	7.21264263246927	0.230290780165182	1.79787286341383	0.0195547130512522	0.933291550872025	0.00104183469797656	0.78135085819624	-0.00668180991835527
"49"	45	11.1579726133673	3.62012434855715	5.04903125060513	0.138566094428136	7.56220505081889	0.185837794790501	1.74624837619852	0.0205158124286577	0.90533298977958	0.000858010454017622	0.957124292418726	0.000967751672999659
"50"	50	7.2493701671359	2.35200626163148	4.85094299512128	0.111449680070994	7.77086723516924	0.166001417416771	1.90058948561151	0.0131332399272901	0.955539840546509	0.000573542526836341	0.930806488143562	0.0024010229411905
"51"	5	52.3288670248112	16.9777263498551	7.22370429259251	0.217887962718405	3.23221197062557	0.18901254039919	2.01825262013239	0.015316338679817	0.999411280551087	1.57121089331582e-05	0.0848494734287734	-0.00904866058814656
"52"	10	46.5993236685769	15.1188170184979	6.9223865574967	0.199928522125509	4.3101859450809	0.189778611598033	1.98882980825332	0.011211703066811	0.998744015401081	3.25924437777927e-05	0.182235903374326	-0.00088669640066661
"53"	15	41.5181060841079	13.4702523432435	6.78134758055161	0.150880277637659	4.86166035406089	0.158813134178197	2.00468871822695	0.00951879710568668	0.997968790714503	3.5973414389838e-05	0.2958715162422	-0.00158935865504973
"54"	20	37.7572346394142	12.2500645223468	6.51488782831533	0.141639874875999	5.14254945690183	0.185138901673558	1.98894085960996	0.0087274526519983	0.996953644763317	4.25404561485855e-05	0.363693716241189	0.00657635010403633
"55"	25	28.7978152751737	9.34324503879971	6.32100604707046	0.119249524189844	6.57408888872548	0.219700855189465	1.98672972342201	0.00753742007950136	0.99644134977605	6.07930948741607e-05	0.503107256683588	-0.00713889348081439
"56"	30	25.1207858929603	8.15025917495527	6.42253677937575	0.143699290273276	6.83322221373532	0.185938350983004	1.92347148642444	0.00967236854910785	0.990766545846194	0.000203244761713096	0.627134264091688	-0.0068229784812586
"57"	35	18.3552790170741	5.95523889480286	5.40590501487714	0.121693940236144	6.66451279511712	0.179263759168911	1.93733015130836	0.00980694157077686	0.987634641393125	0.000221943736717173	0.639801630353298	0.0147457970830349
"58"	40	14.347025844742	4.65478984306764	6.25855171592902	0.121872332509152	8.23780802317574	0.166807863992701	1.76116526182189	0.0153687699212729	0.952072656891145	0.000432809883455888	0.837282001313043	-0.00856845269124072
"59"	45	9.48671665708213	3.07789731595348	5.22973515392023	0.115698415674859	7.46742287041595	0.20272391030183	1.85937729123783	0.0142785468170018	0.955403476168851	0.000567180507051184	0.80824216123522	-0.000483333198573916
"60"	50	7.04379696123567	2.2853095064164	4.5856904548821	0.0972257078623736	7.48801585352101	0.177202536536282	1.85610693632508	0.0157768514224194	0.934929736846007	0.000514266009526553	1.02675600416341	0.00482915643867412
